story_id,source_slice,feature,actor,user_story,expected_behavior,entry_points,evidence,inventory_status,qa_status,error_status,documented_errors,fix_status,retest_status,duplicate_or_overlap,source_analysis,notes
TA-005,tasks-automation,Delete task,Operator,As a user I delete a task and its cascade-owned children.,DELETE returns 204 and removes record + cascade rows.,`DELETE /api/tasks/:id`; web delete action; CLI `task delete` (implied),`tasks.go:309-334`; `task-delete-action.tsx`; qa/evidence/batch-005-tasks-crud/ta005-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json,Needs QA,Passed,No error,Delete candidate task-01a50e5adbc6cd61 returned 204 and subsequent GET returned 404.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Verify cascade does not orphan runs. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-006,tasks-automation,Publish draft task,Operator,As a user I publish a draft into the runnable lifecycle.,"POST publish promotes draft, optionally enqueues a run; returns execution.",Web detail header Publish; `POST /api/tasks/:id/publish`; CLI,`tasks.go:484-526`; `tasks.$id.tsx:106`; qa/evidence/batch-005-tasks-crud/ta006-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json,Needs QA,Passed,No error,Publishing draft task-c2e97536f3c74a87 returned an execution with run-4d2252de6e80ac8a; publishing non-draft parent returned a clean client/state error.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Publishing a non-draft should be a clear error/no-op. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-007,tasks-automation,Start task (enqueue run),Operator,"As a user I start an existing task, creating an executable run.",POST start enqueues a run (201) with optional idempotency key + network channel.,Web detail Enqueue; `POST /api/tasks/:id/start`; CLI `task run enqueue`,`tasks.go:528-570`; route `httpapi:285`; qa/evidence/batch-005-tasks-crud/ta007-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json,Needs QA,Passed,No error,Starting task-00b150468e8e99a2 returned 201 and run-656ffe0eb2d3984b; replaying the same idempotency key returned the same run.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Idempotency key dedupes repeat starts. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-008,tasks-automation,Enqueue run explicitly,Operator/Agent,As a user I enqueue a queue-first run for a task.,POST creates run (201); idempotency key prevents duplicates.,`POST /api/tasks/:id/runs`; CLI `task run enqueue`,"`tasks.go:1093-1135,1880-1895`; route `httpapi:300`; qa/evidence/batch-005-tasks-crud/ta008-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json",Needs QA,Passed,No error,Explicit enqueue was validated on fresh task-72becf1c529ad1ba and returned run-28bfde5d7feb564d. Initial attempt against parent correctly returned 409 because it already had an open run.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Distinguish from `start` semantics. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-009,tasks-automation,Cancel task tree,Operator,As a user I cancel a task and its tree with a reason.,POST cancel transitions task + active runs; returns updated task.,Web detail Cancel; `POST /api/tasks/:id/cancel`; CLI `task cancel`,"`tasks.go:572-614,1852-1861`; qa/evidence/batch-005-tasks-crud/ta009-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json",Needs QA,Passed,No error,"Cancel candidate task-be57afb67d641cfc was started, then POST cancel returned 200 with terminal canceled state.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Verify non-terminal runs cancel too. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-010,tasks-automation,Pause task,Operator,As a user I pause a task so its runs become claim-ineligible.,POST pause with reason; task marked paused; backlog reflects `effective_paused`.,Web detail Pause; `POST /api/tasks/:id/pause`; CLI `task pause`,`scheduler.go:13-49`; `tasks.go` summary `EffectivePaused`; qa/evidence/batch-005-tasks-crud/ta010-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json,Needs QA,Passed,No error,POST pause on task-00b150468e8e99a2 returned 200 with effective_paused=true.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Paused task must not be claimable by agents. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-011,tasks-automation,Resume task,Operator,As a user I resume a paused task.,POST resume clears pause; runs become eligible again.,Web detail Resume; `POST /api/tasks/:id/resume`; CLI `task resume`,`scheduler.go:51-87`; qa/evidence/batch-005-tasks-crud/ta011-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json,Needs QA,Passed,No error,POST resume on task-00b150468e8e99a2 returned 200 with effective_paused cleared.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Resume of non-paused task is a clean no-op/error. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-012,tasks-automation,Create child task,Operator,As a user I create a child task under a parent (epic).,POST children creates child (201) inheriting scope rules.,`POST /api/tasks/:id/children`; CLI `task child create`; web children panel,"`tasks.go:616-658,1768-1801`; CLI `task.go:1783-1810`; qa/evidence/batch-005-tasks-crud/ta012-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json",Needs QA,Passed,No error,"POST child created task-298bb8b72e2b9583 under parent task-00b150468e8e99a2, and parent detail reflected child_count/current child data.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Verify parent linkage + children tab count. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-013,tasks-automation,Add dependency,Operator,As a user I add a blocking dependency edge between tasks.,POST adds edge (default kind `blocks`); returns updated detail.,`POST /api/tasks/:id/dependencies`; CLI `task dependency add`; web deps panel,"`tasks.go:660-707,1863-1878`; CLI `task.go:1884`; qa/evidence/batch-005-tasks-crud/ta013-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json",Needs QA,Passed,No error,POST dependency added task-290579ee0a6c9cde as a blocker and self-dependency was rejected with a client/state error.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Cycle/self-dep must be rejected. Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-014,tasks-automation,Remove dependency,Operator,As a user I remove a dependency edge.,DELETE edge; returns updated detail.,`DELETE /api/tasks/:id/dependencies/:depends_on_id`; CLI `task dependency remove`,`tasks.go:709-745`; CLI `task.go:1920`; qa/evidence/batch-005-tasks-crud/ta014-*; qa/evidence/batch-005-tasks-crud/ta001-ta014-summary.json; qa/evidence/batch-005-tasks-crud/ta001-ta014-retest-summary.json,Needs QA,Passed,No error,DELETE dependency returned 200 and retested parent detail showed no current dependency edge for task-290579ee0a6c9cde; historical events still mention the removed edge as expected.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Web-specific UI rendering for this task story remains browser-blocked where applicable; HTTP/UDS behavior passed.
TA-015,tasks-automation,Task timeline,Operator,As a user I view the task's native event timeline.,GET returns ordered timeline items; web supports load-more/saturation.,Web Events tab; `GET /api/tasks/:id/timeline`; CLI,`tasks.go:814-851`; `tasks.$id.tsx:130-139`; qa/evidence/batch-006-tasks-read-runs/ta015-http-task-timeline.json; qa/evidence/batch-006-tasks-read-runs/ta015-http-task-timeline-after-seq.json; qa/evidence/batch-006-tasks-read-runs/ta015-ta023-summary.json,Needs QA,Passed,No error,HTTP timeline returned ordered task-native events and after_seq pagination returned the expected later window.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Pagination/after-seq correctness passed through HTTP. Web-specific rendering remains browser-blocked where applicable.
TA-016,tasks-automation,Task live SSE stream,Operator,As a user I watch live task events stream in real time.,GET SSE emits task-native events until ctx/stream closes; reconnect via after-seq.,Web orchestration/stream card; `GET /api/tasks/:id/stream`; CLI stream,`tasks.go:853-911`; orchestration stream props `tasks.$id.tsx:192-198`; qa/evidence/batch-006-tasks-read-runs/ta016-http-task-stream-curl.json; qa/evidence/batch-006-tasks-read-runs/ta016-retest-task-stream-curl.json; qa/evidence/batch-006-tasks-read-runs/ta015-ta023-retest-summary.json,Needs QA,Passed,QA harness issue,"Initial curl timeout put SSE event bytes on stderr, which the QA script treated as a failure; combined stdout/stderr retest observed task events and no claim_token leak.",Fixed QA harness assumption,Passed,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Resume/stream behavior passed through HTTP SSE. Web-specific rendering remains browser-blocked where applicable.
TA-017,tasks-automation,Task tree / multi-agent view,Operator,As a user I see the task's descendant agent tree and live agents.,GET tree returns nodes; web Agents tab shows active descendants + live count.,Web Agents tab; `GET /api/tasks/:id/tree`,`tasks.go:913-939`; `tasks.$id.tsx:140-150`; qa/evidence/batch-006-tasks-read-runs/ta017-http-task-tree.json; qa/evidence/batch-006-tasks-read-runs/ta015-ta023-summary.json,Needs QA,Passed,No error,HTTP task tree returned the parent and descendant task data for the QA task hierarchy.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,API tree behavior passed. Live web count rendering remains browser-blocked where applicable.
TA-018,tasks-automation,Inspect task diagnostics,Operator/Agent,As a user I get a diagnostic snapshot for a task.,GET inspect returns diagnostics view.,Web overview inspect card; `GET /api/tasks/:id/inspect`; CLI `task inspect`,`tasks.go:253-279`; CLI `task.go:413`; qa/evidence/batch-006-tasks-read-runs/ta018-http-task-inspect.json; qa/evidence/batch-006-tasks-read-runs/ta018-cli-task-inspect.json; qa/evidence/batch-006-tasks-read-runs/ta015-ta023-summary.json,Needs QA,Passed,No error,HTTP inspect and CLI task inspect returned the task diagnostic snapshot.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI behavior passed. Web-specific inspect card remains browser-blocked where applicable.
TA-019,tasks-automation,Inspect run diagnostics,Operator,As a user I get a diagnostic snapshot rooted at a run.,GET inspect run returns diagnostics; web run-detail diagnostics card.,`GET /api/runs/:id/inspect`; web run detail; CLI `task run`/`inspect`,`tasks.go:281-307`; route `httpapi:332`; `tasks.$id.runs.$runId.tsx:90-96`; qa/evidence/batch-006-tasks-read-runs/ta019-http-run-inspect.json; qa/evidence/batch-006-tasks-read-runs/ta015-ta023-summary.json,Needs QA,Passed,No error,HTTP run inspect returned diagnostics for the queued/open run.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,Run diagnostic API passed. Web-specific diagnostics card remains browser-blocked where applicable.
TA-020,tasks-automation,Execution profile manage,Operator,As a user I get/set/delete a task-owned execution profile.,GET returns profile; PUT replaces; DELETE 204; web orchestration card disables edits when an active run exists.,`GET/PUT/DELETE /api/tasks/:id/execution-profile`; CLI; web orchestration panel,"`tasks.go:385-482,1828-1850`; routes `httpapi:275-277`; `tasks.$id.tsx:174-186`; qa/evidence/batch-006-tasks-read-runs/ta020-http-profile-get.json; qa/evidence/batch-006-tasks-read-runs/ta020-http-profile-put.json; qa/evidence/batch-006-tasks-read-runs/ta020-http-profile-delete.json; qa/evidence/batch-006-tasks-read-runs/ta020-retest-cli-profile-update.json; qa/evidence/batch-006-tasks-read-runs/ta020-retest-cli-profile-inspect.json; qa/evidence/batch-006-tasks-read-runs/ta020-retest-cli-profile-delete.json; qa/evidence/batch-006-tasks-read-runs/ta020-retest-http-profile-default-after-delete.json",Needs QA,Passed,QA command issue,Initial QA used a non-existent task profile get subcommand; actual CLI surface is update/inspect/delete. HTTP GET after delete returns inherited default profile instead of 404.,Fixed QA command assumption,Passed,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP set/get/delete and CLI update/inspect/delete passed. Active-run UI guard remains browser-blocked where applicable.
TA-021,tasks-automation,Task bridge notification subscriptions,Operator/Agent,As a user I subscribe a task to bridge notifications and manage them.,"POST creates, GET lists/gets, DELETE removes a per-task bridge subscription.",`*/tasks/:id/notifications/bridges*`; CLI `task notification subscribe/list/show/delete`; web orchestration notifications,routes `httpapi:278-282`; CLI `task.go:711-824`; `tasks.$id.tsx:164-173`; qa/evidence/batch-006-tasks-read-runs/ta021-cli-bridge-create.json; qa/evidence/batch-006-tasks-read-runs/ta021-retest-cli-bridge-create.json,Needs QA,Blocked,Environment blocker,"No bridge provider is installed in the QA home; bridge create requires --extension and then fails with bridge provider ""qa-extension"" is not installed, so task notification subscription cannot be exercised.",Blocked,Blocked,Task-side bridge notification summary; detailed bridge behaviors tracked by NB-040..NB-043.,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,"Blocked by missing installed bridge provider, not claimed as product failure. Overlaps bridges slice — see Risks."
TA-022,tasks-automation,List task runs,Operator,As a user I list a task's runs filtered by status.,GET returns runs for a task.,Web Runs tab; `GET /api/tasks/:id/runs`; CLI `task run list`,`tasks.go:747-784`; CLI `task.go:1965`; qa/evidence/batch-006-tasks-read-runs/ta022-http-task-runs.json; qa/evidence/batch-006-tasks-read-runs/ta022-cli-run-list.json; qa/evidence/batch-006-tasks-read-runs/ta015-ta023-summary.json,Needs QA,Passed,No error,HTTP and CLI task run list returned runs for the parent task with expected status filtering.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI behavior passed. Web-specific Runs tab remains browser-blocked where applicable.
TA-023,tasks-automation,Get run detail,Operator,As a user I view one run's detail.,GET returns run detail view; web run page renders header + timeline + reviews.,Web `/tasks/$id/runs/$runId`; `GET /api/task-runs/:id`; CLI `task run show` (implied),`tasks.go:786-812`; route `tasks.$id.runs.$runId.tsx`; qa/evidence/batch-006-tasks-read-runs/ta023-http-run-detail.json; qa/evidence/batch-006-tasks-read-runs/ta023-retest-cli-run-help.json; qa/evidence/batch-006-tasks-read-runs/ta023-retest-cli-run-show-after-fix.json; qa/issues/BUG-005.md,Needs QA,Passed,BUG-005 fixed,CLI lacked task run show despite HTTP detail support; initial fix decoded TaskRunResponse and returned a zero payload. Final fix adds task run show and decodes TaskRunDetailResponse.,Fixed BUG-005,Passed,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP detail and UDS-backed CLI detail passed after fix. Web-specific run page remains browser-blocked where applicable.
TA-024,tasks-automation,Manual claim run,Operator/Agent,As a user I claim a queued run by id.,POST claim returns the claimed run; idempotency key supported.,`POST /api/task-runs/:id/claim`; CLI `task run claim`,"`tasks.go:1137-1179,1912-1918`; CLI `task.go:2040`; qa/evidence/batch-007-task-run-lifecycle/ta-024.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI claim paths returned claimed runs with idempotency keys. Browser/web affordance coverage remains blocked where applicable.
TA-025,tasks-automation,Manual start run,Operator/Agent,As a user I start a claimed run.,POST start transitions claimed→running.,`POST /api/task-runs/:id/start`; CLI `task run start`,"`tasks.go:1181-1223,1920-1926`; CLI `task.go:2066`; qa/evidence/batch-007-task-run-lifecycle/ta-025.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI start paths transitioned claimed session-bound runs to running. Browser/web affordance coverage remains blocked where applicable.
TA-026,tasks-automation,Attach session to run,Operator/Agent,As a user I bind an existing session to a run.,POST attach requires session_id; binds session to run.,`POST /api/task-runs/:id/attach-session`; CLI `task run attach-session`,"`tasks.go:1225-1267,1928-1934`; CLI `task.go:2092`; qa/evidence/batch-007-task-run-lifecycle/ta-026.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI attach-session paths bound existing acpmock sessions to runs. Browser/web affordance coverage remains blocked where applicable.
TA-027,tasks-automation,Complete run,Operator/Agent,As a user I mark a running run completed with a result.,POST complete transitions run→completed with result value.,`POST /api/task-runs/:id/complete`; CLI `task run complete`,"`tasks.go:1269-1311,1936-1942`; CLI `task.go:2126`; qa/evidence/batch-007-task-run-lifecycle/ta-027.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI complete paths transitioned running runs to completed with result payloads. Browser/web affordance coverage remains blocked where applicable.
TA-028,tasks-automation,Fail run,Operator/Agent,As a user I mark a run failed with an error.,POST fail requires error; transitions run→failed.,`POST /api/task-runs/:id/fail`; CLI `task run fail`,"`tasks.go:1313-1355,1944-1953`; CLI `task.go:2161`; qa/evidence/batch-007-task-run-lifecycle/ta-028.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI fail paths transitioned running runs to failed and preserved failure messages. Browser/web affordance coverage remains blocked where applicable.
TA-029,tasks-automation,Cancel run,Operator,As a user I cancel a non-terminal run.,POST cancel with reason transitions run.,`POST /api/task-runs/:id/cancel`; web run header; CLI `task run cancel`,"`tasks.go:1556-1598,1955-1964`; CLI `task.go:2201`; qa/evidence/batch-007-task-run-lifecycle/ta-029.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI cancel paths transitioned queued runs to canceled with audit metadata. Browser/web affordance coverage remains blocked where applicable.
TA-030,tasks-automation,Force-release run,Operator,As a user I force-release a stuck claimed run without the claim token.,POST release returns run to queue with reason/metadata.,`POST /api/runs/:id/release`; web run header; CLI `task ... release`,`tasks.go:1357-1393`; route `httpapi:333`; `tasks.$id.runs.$runId.tsx:74-75`; qa/evidence/batch-007-task-run-lifecycle/ta-030.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI force-release paths returned claimed runs to queued with audit metadata. Browser/web affordance coverage remains blocked where applicable.
TA-031,tasks-automation,Force-fail run,Operator,As a user I force-fail a queued/claimed run.,POST fail terminalizes run with reason.,`POST /api/runs/:id/fail`; web run header; CLI,`tasks.go:1395-1431`; route `httpapi:334`; qa/evidence/batch-007-task-run-lifecycle/ta-031.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI force-fail paths terminalized queued runs with audit metadata. Browser/web affordance coverage remains blocked where applicable.
TA-032,tasks-automation,Retry run,Operator,"As a user I retry a failed run, creating a linked child run.",POST retry enqueues a new run linked to the source (201).,`POST /api/runs/:id/retry`; web run header + inbox; CLI `task retry`,`tasks.go:1433-1469`; route `httpapi:335`; CLI `task.go:1631`; qa/evidence/batch-007-task-run-lifecycle/ta-032.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI retry paths returned failed previous_run and queued continuation run. Browser/web affordance coverage remains blocked where applicable.
TA-033,tasks-automation,Recover needs_attention run,Operator,As a user I recover a needs_attention run by terminalizing it and queuing a fresh child.,POST recover terminalizes + queues continuation (201).,`POST /api/runs/:id/recover`; CLI `task recover`,`tasks.go:1471-1507`; route `httpapi:336`; CLI `task.go:1670`; qa/evidence/batch-007-task-run-lifecycle/ta-033.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI recover paths terminalized needs_attention runs and queued continuations. Browser/web affordance coverage remains blocked where applicable.
TA-034,tasks-automation,Bulk force release/fail runs,Operator,As a user I bulk release or fail a bounded set of runs.,POST bulk returns per-run result; internal errors masked when configured.,"`POST /api/runs/bulk/{release,fail}`; CLI",`tasks.go:1509-1553`; routes `httpapi:330-331`; qa/evidence/batch-007-task-run-lifecycle/ta-034.json; qa/evidence/batch-007-task-run-lifecycle/ta024-ta034-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP bulk release/fail and CLI multi-run release/fail returned per-run successful results. Browser/web affordance coverage remains blocked where applicable.
TA-035,tasks-automation,Request run review,Operator/Agent,As a user I request (or replay) an authoritative review for a run.,POST returns 201 created or 200 existing (idempotent); ids must match run/task.,`POST /api/task-runs/:id/reviews`; CLI `task review request`,`task_reviews.go:14-66`; CLI `task.go:919`; qa/evidence/batch-008-task-reviews/ta-035.json; qa/evidence/batch-008-task-reviews/ta035-ta038-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,"HTTP and UDS-backed CLI review request/replay passed; initial create returns created=true, replay returns created=false. Browser/web affordance coverage remains blocked where applicable."
TA-036,tasks-automation,List reviews (task or run),Operator,"As a user I list reviews for a task or a run, filtered by status/reviewer.",GET returns review payloads.,"`GET /api/tasks/:id/reviews`, `GET /api/task-runs/:id/reviews`; CLI","`task_reviews.go:68-103,241-258`; routes `httpapi:283,306`; qa/evidence/batch-008-task-reviews/ta-036.json; qa/evidence/batch-008-task-reviews/ta035-ta038-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI review listing passed for task and run filters. Browser/web affordance coverage remains blocked where applicable.
TA-037,tasks-automation,Get review,Operator,As a user I view one review.,GET returns review by id.,`GET /api/task-reviews/:id`; CLI `task review show`,`task_reviews.go:105-131`; CLI `task.go:1000`; qa/evidence/batch-008-task-reviews/ta-037.json; qa/evidence/batch-008-task-reviews/ta035-ta038-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI review detail/show returned the requested review. Browser/web affordance coverage remains blocked where applicable.
TA-038,tasks-automation,Submit review verdict,Reviewer,As a reviewer I submit a verdict that may open a circuit breaker and spawn a continuation run.,POST verdict records result; response includes `circuit_opened` + optional continuation run.,`POST /api/task-reviews/:id/verdict`; CLI `task review submit`,"`task_reviews.go:133-175,268-281`; CLI `task.go:1021`; qa/evidence/batch-008-task-reviews/ta-038.json; qa/evidence/batch-008-task-reviews/ta035-ta038-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI verdict submission recorded rejected verdicts and queued continuation runs. Browser/web affordance coverage remains blocked where applicable.
TA-039,tasks-automation,Task dashboard,Operator,As a user I view aggregate task/run health + queue pressure.,"GET dashboard returns observer aggregate; web Dashboard shows active runs, queue health, status breakdown, scheduler controls.",Web Dashboard mode; `GET /api/observe/tasks/dashboard`,"`internal/observe/tasks.go:239-240,540-557,694-699`; routes `httpapi:193`; `-tasks-route.tsx:76-93`; qa/evidence/batch-009-observe-scheduler/ta-039.json; qa/evidence/batch-009-observe-scheduler/ta039-ta048-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,"HTTP dashboard returned task/run totals, queue pressure, health, active-run, and freshness payloads. Browser/web affordance coverage remains blocked where applicable."
TA-040,tasks-automation,Task inbox + unread,Operator,As a user I triage tasks in an inbox with lanes and unread counts.,GET inbox returns grouped lanes with unread totals; web inbox filters by lane/status/priority/search/unread.,Web Inbox mode; `GET /api/observe/tasks/inbox`,"`internal/observe/tasks.go:493-496,564-587,931-992`; `-tasks-route.tsx:94-117`; qa/evidence/batch-009-observe-scheduler/ta-040.json; qa/evidence/batch-009-observe-scheduler/ta039-ta048-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP inbox returned approval-lane aggregate payload with unread/archived counters. Browser/web affordance coverage remains blocked where applicable.
TA-041,tasks-automation,Approve task,Approver,As an approver I approve an approval-gated task to allow execution.,POST approve records decision + enqueues execution (201).,Web inbox Approve; `POST /api/tasks/:id/approve`; CLI,`tasks.go:1001-1043`; `-tasks-route.tsx:101`; qa/evidence/batch-009-observe-scheduler/ta-041.json; qa/evidence/batch-009-observe-scheduler/ta039-ta048-summary.json,Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI approval of manual tasks approved state and enqueued first runs. Browser/web affordance coverage remains blocked where applicable.
TA-042,tasks-automation,Reject task,Approver,As an approver I reject an approval-gated task.,POST reject records rejection; returns updated task.,Web inbox Reject; `POST /api/tasks/:id/reject`; CLI `task reject`,"`tasks.go:1045-1055,1600-1629`; CLI `task.go:1173`; qa/evidence/batch-009-observe-scheduler/ta-042.json; qa/evidence/batch-009-observe-scheduler/ta039-ta048-summary.json",Needs QA,Passed,No error,None observed during isolated HTTP and UDS-backed CLI QA.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/02_analysis_tasks-automation.md,HTTP and UDS-backed CLI rejection of manual pending tasks set approval_state=rejected. Browser/web affordance coverage remains blocked where applicable.
